Thorlabs Beam
Version: 7.0.4131.325
Date: 2019-05-16
Time: 11:06:47

Device: BP109-IR
S/N: M00230332

Resolution [µm]: 1.20
Sample Frequency [Hz]: 200000.00
Sample Count: 7504

Pos X [µm];X;Pos Y [µm];Y;
-4165.64;4.88e-04;-4060.12;1.75e-05;
-4164.45;3.75e-04;-4058.93;2.44e-04;
-4163.26;-1.55e-04;-4057.75;-4.97e-05;
-4162.07;9.89e-05;-4056.56;-2.88e-04;
-4160.88;2.20e-04;-4055.38;-2.83e-05;
-4159.69;6.22e-04;-4054.19;1.27e-04;
-4158.5;3.36e-04;-4053.01;-1.19e-04;
-4157.31;-5.01e-05;-4051.82;6.02e-05;
-4156.12;1.27e-04;-4050.64;1.77e-04;
-4154.93;2.58e-04;-4049.45;-7.76e-05;
-4153.74;4.07e-04;-4048.26;-6.91e-05;
-4152.55;5.90e-04;-4047.08;1.50e-04;
-4151.36;1.42e-04;-4045.89;-2.20e-04;
-4150.17;6.67e-05;-4044.71;-3.63e-05;
-4148.98;1.33e-04;-4043.52;1.01e-04;
-4147.79;5.32e-04;-4042.34;2.34e-04;
-4146.6;1.61e-04;-4041.15;-1.32e-04;
-4145.41;-1.08e-04;-4039.97;-2.43e-04;
-4144.22;1.84e-04;-4038.78;-1.64e-05;
-4143.03;2.86e-04;-4037.6;3.44e-04;
-4141.84;2.38e-04;-4036.41;-2.66e-05;
-4140.65;4.23e-04;-4035.23;-3.28e-04;
-4139.46;4.91e-04;-4034.04;-6.82e-05;
-4138.27;3.77e-04;-4032.86;3.02e-04;
-4137.08;2.32e-04;-4031.67;2.35e-04;
-4135.89;9.15e-05;-4030.49;-1.84e-04;
-4134.7;3.14e-04;-4029.3;-1.69e-04;
-4133.51;1.02e-04;-4028.11;2.04e-04;
-4132.32;1.57e-05;-4026.93;2.42e-04;
-4131.13;3.33e-04;-4025.74;-2.96e-04;
-4129.94;3.21e-04;-4024.56;7.22e-05;
-4128.75;1.36e-04;-4023.37;1.35e-04;
-4127.56;9.38e-05;-4022.19;-2.32e-05;
-4126.37;6.19e-05;-4021;4.48e-05;
-4125.18;4.12e-04;-4019.82;-3.09e-04;
-4123.99;4.18e-04;-4018.63;-1.03e-04;
-4122.8;5.01e-04;-4017.45;1.94e-04;
-4121.61;3.87e-04;-4016.26;5.31e-04;
-4120.42;3.19e-06;-4015.08;1.83e-04;
-4119.23;3.77e-05;-4013.89;-3.90e-04;
-4118.04;3.46e-04;-4012.71;-3.95e-04;
-4116.85;6.13e-04;-4011.52;9.92e-05;
-4115.66;4.12e-04;-4010.34;3.49e-04;
-4114.47;7.87e-05;-4009.15;6.22e-05;
-4113.28;-8.82e-05;-4007.97;-2.15e-04;
-4112.09;2.96e-04;-4006.78;1.23e-04;
-4110.9;5.93e-04;-4005.59;-1.86e-06;
-4109.71;4.17e-04;-4004.41;-2.61e-04;
-4108.52;8.69e-05;-4003.22;-8.62e-05;
-4107.33;1.61e-04;-4002.04;1.35e-05;
-4106.14;6.76e-05;-4000.85;3.56e-04;
-4104.95;1.33e-04;-3999.67;3.25e-04;
-4103.76;2.04e-04;-3998.48;-4.13e-04;
-4102.57;3.30e-04;-3997.3;-3.47e-04;
-4101.39;4.55e-04;-3996.11;5.55e-06;
-4100.2;5.46e-04;-3994.93;1.52e-04;
-4099.01;3.42e-04;-3993.74;2.14e-04;
-4097.82;4.03e-04;-3992.56;1.86e-05;
-4096.63;2.03e-04;-3991.37;-5.54e-05;
-4095.44;2.29e-04;-3990.19;2.33e-04;
-4094.25;-1.47e-05;-3989;4.97e-05;
-4093.06;3.79e-04;-3987.82;-2.89e-05;
-4091.87;3.75e-04;-3986.63;6.42e-05;
-4090.68;3.65e-05;-3985.44;-5.08e-05;
-4089.49;2.94e-05;-3984.26;3.43e-05;
-4088.3;3.15e-04;-3983.07;2.49e-05;
-4087.11;3.43e-04;-3981.89;-1.54e-04;
-4085.92;3.76e-04;-3980.7;-1.93e-04;
-4084.73;5.21e-04;-3979.52;1.45e-04;
-4083.54;1.47e-04;-3978.33;3.22e-04;
-4082.35;8.46e-05;-3977.15;-1.49e-04;
-4081.16;1.65e-04;-3975.96;-1.54e-04;
-4079.97;3.22e-04;-3974.78;-5.88e-05;
-4078.78;3.38e-04;-3973.59;1.38e-04;
-4077.59;5.79e-04;-3972.41;2.93e-04;
-4076.4;3.38e-04;-3971.22;-9.10e-05;
-4075.21;-8.48e-05;-3970.04;-3.49e-04;
-4074.02;1.10e-04;-3968.85;-7.42e-05;
-4072.83;5.93e-04;-3967.67;5.51e-05;
-4071.64;5.55e-04;-3966.48;3.30e-04;
-4070.45;1.52e-04;-3965.29;1.64e-05;
-4069.26;7.84e-05;-3964.11;-3.61e-04;
-4068.07;7.13e-05;-3962.92;9.67e-05;
-4066.88;3.44e-04;-3961.74;4.04e-04;
-4065.69;3.67e-04;-3960.55;-2.18e-05;
-4064.5;4.68e-04;-3959.37;7.04e-07;
-4063.31;1.49e-04;-3958.18;1.04e-04;
-4062.12;1.08e-04;-3957;-1.03e-04;
-4060.93;4.74e-04;-3955.81;-3.06e-05;
-4059.74;4.62e-04;-3954.63;-1.24e-04;
-4058.55;-1.96e-04;-3953.44;3.68e-04;
-4057.36;1.35e-04;-3952.26;2.32e-04;
-4056.17;5.81e-04;-3951.07;-4.58e-04;
-4054.98;5.32e-04;-3949.89;-3.29e-04;
-4053.79;2.87e-04;-3948.7;2.80e-04;
-4052.6;-8.31e-05;-3947.52;3.64e-04;
-4051.41;-2.38e-04;-3946.33;6.12e-06;
-4050.22;3.90e-04;-3945.15;-3.77e-05;
-4049.03;4.56e-04;-3943.96;-1.01e-04;
-4047.84;4.86e-04;-3942.77;-4.60e-05;
-4046.65;3.78e-04;-3941.59;5.48e-05;
-4045.46;5.42e-05;-3940.4;1.29e-04;
-4044.27;1.15e-04;-3939.22;-2.45e-04;
-4043.08;3.50e-04;-3938.03;-3.42e-04;
-4041.89;4.24e-04;-3936.85;8.50e-05;
-4040.7;4.18e-04;-3935.66;3.50e-04;
-4039.51;3.13e-04;-3934.48;2.68e-04;
-4038.32;2.93e-04;-3933.29;-2.19e-04;
-4037.13;1.83e-04;-3932.11;-1.13e-04;
-4035.94;2.34e-04;-3930.92;2.58e-05;
-4034.75;3.14e-04;-3929.74;1.76e-04;
-4033.56;2.13e-04;-3928.55;1.09e-04;
-4032.37;2.20e-04;-3927.37;2.69e-04;
-4031.18;3.40e-04;-3926.18;-1.01e-04;
-4029.99;1.71e-04;-3925;-4.63e-04;
-4028.8;2.42e-04;-3923.81;-3.44e-04;
-4027.61;4.35e-04;-3922.62;2.74e-04;
-4026.42;1.75e-04;-3921.44;3.90e-04;
-4025.23;4.11e-05;-3920.25;-1.63e-04;
-4024.04;2.32e-04;-3919.07;-1.54e-04;
-4022.85;3.66e-04;-3917.88;2.85e-04;
-4021.66;6.85e-04;-3916.7;5.99e-05;
-4020.47;4.85e-04;-3915.51;2.80e-05;
-4019.28;-1.85e-05;-3914.33;-3.73e-04;
-4018.09;-1.75e-04;-3913.14;-2.12e-04;
-4016.9;1.08e-04;-3911.96;1.07e-04;
-4015.71;5.16e-04;-3910.77;6.01e-04;
-4014.52;6.12e-04;-3909.59;-4.32e-05;
-4013.33;4.81e-04;-3908.4;-4.84e-04;
-4012.14;1.19e-04;-3907.22;-4.05e-04;
-4010.95;-8.85e-05;-3906.03;2.23e-04;
-4009.76;3.51e-04;-3904.85;5.03e-04;
-4008.57;3.09e-04;-3903.66;1.66e-04;
-4007.38;3.92e-04;-3902.47;-3.21e-04;
-4006.19;3.27e-04;-3901.29;-1.86e-06;
-4005;2.82e-04;-3900.1;-1.87e-04;
-4003.81;1.18e-04;-3898.92;-4.80e-05;
-4002.62;4.51e-04;-3897.73;3.99e-04;
-4001.43;4.20e-04;-3896.55;2.69e-04;
-4000.24;-7.00e-05;-3895.36;-2.51e-04;
-3999.05;1.07e-04;-3894.18;-4.06e-04;
-3997.86;3.63e-04;-3892.99;2.61e-05;
-3996.67;7.03e-04;-3891.81;5.10e-04;
-3995.48;2.24e-04;-3890.62;4.35e-04;
-3994.29;-3.01e-05;-3889.44;-1.15e-04;
-3993.1;1.61e-04;-3888.25;-2.82e-04;
-3991.91;5.31e-04;-3887.07;-2.65e-04;
-3990.72;6.19e-04;-3885.88;3.23e-05;
-3989.53;3.02e-04;-3884.7;-4.51e-05;
-3988.34;1.03e-05;-3883.51;8.67e-05;
-3987.16;-4.49e-05;-3882.33;-7.50e-05;
-3985.97;3.67e-04;-3881.14;1.57e-04;
-3984.78;5.56e-04;-3879.95;2.05e-04;
-3983.59;3.51e-04;-3878.77;1.75e-05;
-3982.4;2.14e-04;-3877.58;-1.11e-04;
-3981.21;2.24e-04;-3876.4;1.01e-05;
-3980.02;3.43e-04;-3875.21;3.03e-05;
-3978.83;3.37e-04;-3874.03;-4.34e-05;
-3977.64;-1.51e-04;-3872.84;1.38e-04;
-3976.45;2.54e-04;-3871.66;2.41e-04;
-3975.26;3.59e-04;-3870.47;-1.04e-04;
-3974.07;5.02e-04;-3869.29;-3.44e-04;
-3972.88;4.43e-04;-3868.1;2.63e-05;
-3971.69;-9.68e-05;-3866.92;3.13e-04;
-3970.5;6.98e-05;-3865.73;2.17e-04;
-3969.31;4.52e-04;-3864.55;1.37e-04;
-3968.12;3.59e-04;-3863.36;-1.60e-04;
-3966.93;1.77e-04;-3862.18;-3.91e-04;
-3965.74;2.40e-04;-3860.99;-2.18e-05;
-3964.55;4.16e-04;-3859.8;7.25e-05;
-3963.36;5.27e-04;-3858.62;-4.49e-05;
-3962.17;3.67e-04;-3857.43;-1.11e-04;
-3960.98;2.01e-04;-3856.25;1.81e-04;
-3959.79;1.60e-04;-3855.06;1.68e-04;
-3958.6;3.15e-04;-3853.88;-1.60e-04;
-3957.41;-6.49e-06;-3852.69;-2.33e-04;
-3956.22;1.74e-05;-3851.51;3.27e-06;
-3955.03;5.24e-04;-3850.32;8.76e-05;
-3953.84;8.38e-04;-3849.14;-4.69e-05;
-3952.65;9.29e-05;-3847.95;6.99e-05;
-3951.46;-1.96e-04;-3846.77;-4.71e-06;
-3950.27;9.63e-05;-3845.58;-5.37e-05;
-3949.08;5.37e-04;-3844.4;-7.28e-05;
-3947.89;6.62e-04;-3843.21;-4.60e-05;
-3946.7;1.24e-04;-3842.03;2.98e-04;
-3945.51;1.77e-06;-3840.84;3.51e-04;
-3944.32;2.92e-04;-3839.65;2.90e-04;
-3943.13;4.29e-04;-3838.47;-2.67e-04;
-3941.94;4.63e-04;-3837.28;-5.01e-04;
-3940.75;3.44e-04;-3836.1;-2.26e-04;
-3939.56;6.44e-05;-3834.91;4.24e-04;
-3938.37;1.64e-04;-3833.73;6.39e-04;
-3937.18;5.12e-04;-3832.54;-5.82e-05;
-3935.99;4.77e-04;-3831.36;-6.25e-05;
-3934.8;1.59e-04;-3830.17;-4.20e-04;
-3933.61;2.01e-04;-3828.99;-1.43e-04;
-3932.42;5.72e-04;-3827.8;2.05e-04;
-3931.23;2.16e-04;-3826.62;3.38e-04;
-3930.04;2.21e-04;-3825.43;6.34e-05;
-3928.85;4.39e-04;-3824.25;-2.24e-04;
-3927.66;1.97e-04;-3823.06;-1.02e-04;
-3926.47;1.69e-04;-3821.88;-1.47e-05;
-3925.28;2.69e-04;-3820.69;7.16e-05;
-3924.09;6.98e-04;-3819.51;1.91e-04;
-3922.9;2.71e-04;-3818.32;-1.75e-04;
-3921.71;6.56e-05;-3817.13;-1.06e-04;
-3920.52;1.24e-04;-3815.95;9.90e-05;
